q9nr30	120.41666666666667
q99873	44.0
p55209	33.0
p18621	30.5
q07020	28.5
q14978	27.5
p62906	22.25
q9c0c9	22.25
p61254	21.5
p84098	21.25
q9unx3	18.0
q99733	17.75
o00425	17.5
p62263	17.5
p62899	15.0
q92900	15.0
p62910	12.0
q09161	10.25
q9h6s0	10.0
p55769	8.0
p82930	7.75
q5t3i0	7.25
q68cq4	7.25
q9y2p8	5.25
o95602	5.0
o95373	4.5
q01804	4.25
o43818	3.75
q13895	3.75
q9ulw3	3.75
q15269	3.5
q9ny12	3.5
q9nud5	3.25
p54725	2.75
q9h9y6	2.75
a8mq14	2.5
o15160	2.5
q5c9z4	6.0
q9h0s4	2.5
q9unq2	2.5
q9bvi4	2.25
q9hd33	2.25
q9bwe0	2.0
q13428	271.5
o76021	66.0
q01780	65.0
p16403	42.5
q86vp6	37.0
q9uk43	28.5
q5vxv3	11.75
q9bu76	9.5
q15397	10.5
p05204	7.0
q14593	5.5
q9nvn8	5.5
p36873	4.5
q53f19	4.5
q68d10	4.5
q9p031	4.0
q9y421	4.0
q06265	2.75
q14191	3.5
a0a087x0e7	3.0
q7l590	3.25
q9y388	4.0
q9brd0	2.5
o43395	34.0
p21127	14.0
a0a024r755	11.5
q15361	4.5
q8n5f7	4.5
q96bt3	4.5
q9nxe8	4.0
q8ndf8	3.5
q96c57	2.5
q9bw71	2.5
o60293	2.0
q14137	2.0
