Bait,Prey,AvgSpec
BET1,Q9BYG3,2
BET1,Q9BZE4,15.25
BET1,Q9BZH6,41.25
BET1,Q9C004,2
BET1,Q9GZR7,10.5
BET1,Q9H2G9,3.5
BET1,Q9H2J7,15
BET1,Q9H3P7,29.5
BET1,Q9H8Y8,12.75
BET1,Q9HAV7,4.25
BET1,Q9HD26,31
BET1,Q9HD33,2.25
BET1,Q9HDC5,2
BET1,Q9NNW5,11.75
BET1,Q9NP61,12.25
BET1,Q9NQX7,3.25
BET1,Q9NR31,2
BET1,Q9NRW7,12.75
BET1,Q9NU19,5.5
BET1,Q9NUU7,3.25
BET1,Q9NVI1,3
BET1,Q9NVP1,7
BET1,Q9NW13,8.75
BET1,Q9NX58,8.5
BET1,Q9NXF1,2
BET1,Q9NY93,7
BET1,Q9NYM9,2.75
BET1,Q9NZ01,6
BET1,Q9NZ52,4.5
BET1,Q9NZM5,4.25
BET1,Q9P035,3.75
BET1,Q9P0L0,2.25
BET1,Q9P287,2.25
BET1,Q9P2D6,11.5
BET1,Q9P2E9,5
BET1,Q9P2J5,29.5
BET1,Q9UBM7,3.5
BET1,Q9UBX3,2.75
BET1,Q9UGP8,2.25
BET1,Q9UID3,2.5
BET1,Q9UIQ6,10.5
BET1,Q9UKD2,4.75
BET1,Q9UKG1,3.25
BET1,Q9ULH0,4.25
BET1,Q9ULX6,3.25
BET1,Q9UNH7,7
BET1,Q9UP95,5.5
BET1,Q9UQE7,19.25
BET1,Q9Y221,3.25
BET1,Q9Y2L5,5.5
BET1,Q9Y2R4,5.75
BET1,Q9Y2U8,4.25
BET1,Q9Y305,2.75
BET1,Q9Y3C1,4.5
BET1,Q9Y485,2.5
BET1,Q9Y4L1,13.25
BET1,Q9Y5M8,3.75
BET1,Q9Y5Z9,7.75
BET1,Q9Y676,2.5
BET1,Q9Y678,17.25
BET1,Q9Y6D6,2.5
BET1,Q9Y6M7,6.5
BET1,Q9Y6Y8,21
CDK7,O00268,10.5
CDK7,O00541,4.5
CDK7,O75683,3.75
CDK7,O95602,4.25
CDK7,P18074,37.5
CDK7,P19447,41.5
CDK7,P21127,32.75
CDK7,P21675,9.75
CDK7,P28715,8.25
CDK7,P29083,11
CDK7,P29084,13.5
CDK7,P32780,29.75
CDK7,P38432,7.5
CDK7,P46013,38.75
CDK7,P49642,3.75
CDK7,P49848,16
CDK7,P50613,105
CDK7,P51946,49.25
CDK7,P51948,41.75
CDK7,P55199,2.5
CDK7,P62891,2.25
CDK7,Q12789,14
CDK7,Q13011,10.75
CDK7,Q13206,12.5
CDK7,Q13610,3.25
CDK7,Q13823,12.75
CDK7,Q13888,18
CDK7,Q13889,16.5
CDK7,Q14241,9.75
CDK7,Q14684,14.25
CDK7,Q15542,11.5
CDK7,Q16543,16.5
CDK7,Q5UIP0,11.75
CDK7,Q6P1K8,17.75
CDK7,Q6P1X5,5.25
CDK7,Q6PD62,12.75
CDK7,Q6ZYL4,3.75
CDK7,Q7Z4V5,4.75
CDK7,Q8IWI9,11
CDK7,Q8IX01,13.75
CDK7,Q8IY81,6.25
CDK7,Q8TF01,3.25
CDK7,Q92621,3.5
CDK7,Q92759,18.5
CDK7,Q96S94,9.25
CDK7,Q9BTC8,5.5
CDK7,Q9BYE7,3
CDK7,Q9BZE4,10.75
CDK7,Q9H0A0,8.25
CDK7,Q9H9B1,4.5
CDK7,Q9H9Y6,2.75
CDK7,Q9NVC6,4
CDK7,Q9NW13,5.25
CDK7,Q9NX58,7.25
CDK7,Q9NY93,6
CDK7,Q9UK58,9
CDK7,Q9Y2G7,5.75
CDK7,Q9Y2R4,6.5
CDK7,Q9Y2X9,5.5
CDK7,Q9Y3C7,2.25
CDK7,Q9Y4W2,3.75
CDK7,Q9Y5Q8,8.25
CDK7,Q9Y5Q9,4
