Bait,Prey,AvgSpec
BET1,A0FGR8,2.75
BET1,O00161,6
BET1,O00541,4.25
BET1,O14653,5
BET1,O14662,3.5
BET1,O14763,3.75
BET1,O14828,3
BET1,O14964,26.5
BET1,O15013,5
BET1,O15027,25.75
BET1,O15155,22.25
BET1,O15226,3
BET1,O15400,4.5
BET1,O15498,9.75
BET1,O43159,2
BET1,O43592,3.75
BET1,O43615,7.5
BET1,O43752,2.5
BET1,O43852,4.75
BET1,O60493,2.5
BET1,O60499,2.25
BET1,O60762,5.25
BET1,O60763,10
BET1,O75396,4.75
BET1,O75683,3
BET1,O75694,2
BET1,O75886,21
BET1,O75976,37.75
BET1,O76031,2
BET1,O94905,2
BET1,O94979,5.75
BET1,O95159,2.75
BET1,O95249,13.5
BET1,O95292,3
BET1,O95347,5.75
BET1,O95433,2
BET1,O95486,11.25
BET1,O95487,25
BET1,O95793,7.75
BET1,P00367,13.75
BET1,P02786,14.25
BET1,P04439,4.25
BET1,P04844,3.75
BET1,P05067,3.5
BET1,P05198,10.75
BET1,P06241,3
BET1,P07814,35
BET1,P08195,8.25
BET1,P08240,2.5
BET1,P09543,3.75
BET1,P11166,5
BET1,P11717,33.75
BET1,P14868,19
BET1,P16615,28.25
BET1,P17302,2.75
BET1,P18085,6.25
BET1,P20020,6.25
BET1,P20042,5.25
BET1,P20340,5.25
BET1,P29317,11.75
BET1,P35613,2
BET1,P36542,5.25
BET1,P40818,5
BET1,P40939,5
BET1,P41252,24.75
BET1,P42696,4
BET1,P43034,2.75
BET1,P45880,2.5
BET1,P46459,37
BET1,P46977,6.25
BET1,P48047,2
BET1,P49257,8.5
BET1,P49757,18.5
BET1,P50402,6
BET1,P50454,8.5
BET1,P50851,122.25
BET1,P51148,3.25
BET1,P51151,2
BET1,P51798,2
BET1,P51809,2.25
BET1,P52594,6.25
BET1,P53007,4.25
BET1,P53367,7.25
BET1,P54764,2
BET1,P54920,12.25
BET1,P55011,15.5
BET1,P57088,2
BET1,P62330,2
BET1,P62633,3.75
BET1,P63092,2.75
BET1,P82094,18.75
BET1,Q00059,2.25
BET1,Q01650,2.75
BET1,Q01968,2.25
BET1,Q03001,15.5
BET1,Q04721,5.75
BET1,Q07065,8
BET1,Q08378,33.5
BET1,Q08379,2.5
BET1,Q08J23,11.25
BET1,Q12904,5.25
BET1,Q13011,10.5
BET1,Q13190,10.75
BET1,Q13439,28
BET1,Q13601,2
BET1,Q13948,4.5
BET1,Q14126,11.25
BET1,Q14254,2.25
BET1,Q14677,21.5
BET1,Q14683,23
BET1,Q14684,16.25
BET1,Q14690,5.5
BET1,Q14789,79.5
BET1,Q15043,3
BET1,Q15046,12.75
BET1,Q15276,3.25
BET1,Q15436,10
BET1,Q15437,15.25
BET1,Q15643,40
BET1,Q15645,3
BET1,Q15836,4.25
BET1,Q16625,3.75
BET1,Q16775,7
BET1,Q16891,4.5
BET1,Q3YEC7,11.25
BET1,Q4ADV7,2.5
BET1,Q5HYI8,2.75
BET1,Q5JTD0,4
BET1,Q5JTH9,20.75
BET1,Q5SRE5,2.5
BET1,Q5T4S7,7.5
BET1,Q5T7V8,7.75
BET1,Q5T9A4,5.25
BET1,Q641Q2,10.5
BET1,Q658P3,5.75
BET1,Q658Y4,28.75
BET1,Q6NXT4,3.5
BET1,Q6P3W7,2
BET1,Q6P996,22.75
BET1,Q7L0Y3,3.5
BET1,Q7L2E3,17.25
BET1,Q7Z2T5,2.75
BET1,Q7Z2W4,9.75
BET1,Q7Z392,3.25
BET1,Q7Z3T8,16.75
BET1,Q7Z3U7,8.5
BET1,Q7Z6Z7,7.25
BET1,Q7Z7G8,18.25
BET1,Q86X29,4.75
BET1,Q86Y82,4.75
BET1,Q8IUW5,2.25
BET1,Q8IWJ2,30.75
BET1,Q8IY81,13.5
BET1,Q8IYB1,4
BET1,Q8IZA0,9.5
BET1,Q8IZE3,14.5
BET1,Q8IZJ1,8.75
BET1,Q8N1F7,6.25
BET1,Q8N6H7,7.25
BET1,Q8NBN3,10.75
BET1,Q8NDI1,6
BET1,Q8NFP9,16
BET1,Q8TAA9,5.75
BET1,Q8TAD4,3.5
BET1,Q8TBA6,22
BET1,Q8TCJ2,3.75
BET1,Q8TCT9,3
BET1,Q8TDD1,4.5
BET1,Q8WTW3,2.25
BET1,Q8WVM8,19.75
BET1,Q8WVQ1,3.25
BET1,Q92538,4.25
BET1,Q92546,2
BET1,Q92621,11.75
BET1,Q92734,5
BET1,Q92783,17
BET1,Q92953,3.25
BET1,Q92974,4.5
BET1,Q96A49,11.5
BET1,Q96AJ9,2
BET1,Q96CN9,7.75
BET1,Q96F07,6.25
BET1,Q96ME7,12.75
BET1,Q96PK6,6
BET1,Q96QD8,1.75
BET1,Q96SI9,3.75
BET1,Q99747,3
BET1,Q99767,2.25
BET1,Q9BRJ6,4.75
BET1,Q9BY77,2.5
