p49321	525.0
q14980	94.5
q9h2p0	54.5
q12873	41.25
o95239	33.0
q8n806	25.75
q14676	25.25
p68431	24.0
q7z5k2	23.0
q96kq7	23.0
q9umn6	22.25
o60306	18.25
q9ubw7	18.0
p49848	16.0
q86u86	15.75
p52701	14.75
q15542	14.75
q9h1a4	14.25
q9btc8	11.0
o00268	9.75
q13042	9.25
q9npf5	9.0
p40938	8.75
p46100	7.75
p78346	7.0
q9y4a5	6.75
q8ixm2	6.5
q99575	6.5
q9ujx4	6.5
q9y294	6.5
q15291	6.25
q96nb3	6.25
q9ugu5	6.25
q9nvp2	6.0
p35250	5.75
q8nem2	5.75
q92830	5.75
p26583	5.25
q6p1x5	4.75
o00255	4.5
o15355	4.5
p82979	4.5
q16594	4.5
p83916	4.25
q13112	4.25
q9y6j9	4.25
o60244	4.0
q5tbb1	4.0
q8nem7	3.75
q9bxs6	3.75
p49642	3.5
q8wx92	3.5
q15776	3.25
q9bye7	3.0
o75792	2.75
q96de5	2.75
q96jm7	2.75
q9npi1	2.75
o75290	2.5
p54198	2.5
q12996	2.5
q96jp5	2.5
q9npg3	2.5
o00287	2.25
p20226	2.25
q2tay7	2.25
q86tj2	2.25
